Area of The Plot (In Squarefeet),Area of The Plot (In Squarefeet),Age Of The House,Number of Bedrooms,Area Population,Price (In Rupees)
292.1773102,"79,545.459",6,4,23087,1059033.558
291.0870791,"79,248.642",6,3,40173,1505890.915
225.1126684,"61,287.067",6,5,36882,1058987.988
232.6725144,"63,345.240",7,3,34310,1260616.807
220.3197689,"59,982.197",5,4,26354,630943.4893
294.4924401,"80,175.754",5,4,26748,1068138.074
237.6430202,"64,698.463",6,3,60828,1502055.817
287.9491501,"78,394.339",7,2,36516,1573936.564
220.1194519,"59,927.661",5,2,29387,798869.5328
300.7740527,"81,885.927",4,6,40150,1545154.813
295.7843303,"80,527.472",8,4,47224,1707045.722
185.8349946,"50,593.696",4,4,34344,663732.3969
143.3745382,"39,033.809",8,3,39220,1042814.098
268.7364279,"73,163.663",7,2,32326,1291331.518
254.8805071,"69,391.380",5,4,35521,1402818.21
268.4727125,"73,091.867",5,4,23930,1306674.66
292.7705301,"79,706.963",5,3,39718,1556786.6
227.4708258,"61,929.077",5,4,24596,528485.2467
233.2710594,"63,508.194",6,5,35720,1019425.937
228.0445596,"62,085.276",6,5,44922,1030591.429
316.968953,"86,294.999",7,4,47561,2146925.34
223.4525173,"60,835.090",6,2,45575,929247.5995
236.8797046,"64,490.650",4,4,40359,718887.2315
222.9465922,"60,697.352",6,6,28141,743999.8192
219.4626846,"59,748.855",5,4,27810,895737.1334
209.2721521,"56,974.477",8,4,40695,1453974.506
301.8307955,"82,173.626",4,2,38854,1125692.507
237.3800918,"64,626.881",5,4,27785,975429.4928
332.4108209,"90,499.057",6,3,33970,1240763.766
217.9013902,"59,323.792",7,4,37521,1577017.76
285.8084122,"77,811.522",5,3,33755,1246830.188
252.1669378,"68,652.609",6,4,39356,1170720.894
202.1716179,"55,041.352",7,5,30122,1071279.21
184.457635,"50,218.708",6,6,16811,534305.1323
205.359749,"55,909.322",5,6,22355,936368.9634
273.177728,"74,372.810",6,2,39395,1199193.831
288.953979,"78,667.905",5,4,27638,1233220.009
289.0700871,"78,699.515",6,3,22837,1081150.125
195.1443942,"53,128.185",5,2,32948,524712.7661
65.36855687,"17,796.631",5,3,47162,302355.836
215.1210744,"58,566.849",7,2,39705,1026817.4
277.4568155,"75,537.795",8,6,32778,1762214.68
169.5020945,"46,147.053",7,4,27161,882057.1706
258.6641394,"70,421.476",7,4,43184,1744932.211
229.9881518,"62,614.421",5,6,26889,1153871.47
243.8740733,"66,394.872",7,3,39741,1499988.88
271.6131434,"73,946.851",5,6,35261,1109588.38
253.9745974,"69,144.746",7,3,19031,980177.3051
283.8513002,"77,278.697",6,2,21726,1323952.027
318.6556251,"86,754.197",7,4,43017,1662494.736
273.2770143,"74,399.841",6,6,41085,1417819.74
181.4805616,"49,408.198",6,3,26881,549976.1456
228.7590249,"62,279.790",6,4,35264,1054770.981
268.4225283,"73,078.204",6,3,54916,1415647.553
267.9248288,"72,942.705",5,6,24378,948788.2757
234.4149632,"63,819.623",6,4,27826,1159596.519
269.1102983,"73,265.450",8,3,21031,1547133.396
251.5627958,"68,488.131",6,5,18268,1186688.506
202.7317851,"55,193.857",7,4,32538,772111.9721
284.424273,"77,434.689",6,3,36252,1172730.156
243.0072617,"66,158.882",4,2,37099,1111085.017
222.2323892,"60,502.909",8,4,33580,1022781.171
223.7309512,"60,910.894",6,4,43348,1274474.546
271.5585153,"73,931.979",6,4,36543,1213530.85
218.6953511,"59,539.948",6,5,58601,1411730.477
207.703857,"56,547.507",5,3,37585,858685.5659
242.2412963,"65,950.347",5,3,40111,1200961.821
273.7667142,"74,533.162",7,4,49482,1520234.229
243.977094,"66,422.919",7,6,31019,1360908.32
273.0369924,"74,334.495",5,4,41640,1360920.53
233.3818097,"63,538.346",5,3,43282,1146532.455
308.366974,"83,953.105",7,3,37283,1789098.521
210.3909265,"57,279.064",5,3,44024,852099.464
207.7260537,"56,553.550",6,3,29682,746096.7289
278.403669,"75,795.576",6,6,33198,1534479.907
260.2336937,"70,848.789",5,3,40459,1215608.531
219.6042784,"59,787.405",6,3,32402,941594.3284
238.112839,"64,826.372",4,4,60286,1204598.037
242.1513306,"65,925.854",8,3,34171,1597655.258
236.617455,"64,419.253",7,6,39318,1492011.496
215.0388375,"58,544.460",9,4,30866,1421216.504
252.678167,"68,791.792",5,4,48423,1132522.901
301.4191863,"82,061.565",4,4,36271,1102821.438
296.2693737,"80,659.525",5,6,52947,1856211.35
244.877641,"66,668.094",6,3,47075,1687998.933
237.7278725,"64,721.565",6,4,36116,1063423.007
239.4851702,"65,199.990",6,3,28366,1177289.886
273.9387154,"74,579.990",5,3,42806,1173474.379
280.1597507,"76,273.670",8,3,46975,1637259.999
248.1608235,"67,561.942",5,4,35518,1238938.291
179.6322094,"48,904.983",5,3,32961,201898.0866
264.9983421,"72,145.967",6,6,28883,1439506.102
260.0750973,"70,805.611",4,3,29269,585608.6326
240.1586231,"65,383.338",8,3,35114,1294685.159
350.5971352,"95,450.293",7,3,39389,2014851.344
270.7016498,"73,698.696",6,4,51815,1840236.006
243.393042,"66,263.911",6,4,49830,1441421.913
276.9314359,"75,394.760",7,4,22268,1498640.551
242.3676638,"65,984.751",7,2,21867,954746.5764
244.1767033,"66,477.263",7,2,32459,1124635.932
254.4870441,"69,284.260",5,3,40283,1169944.248
258.601769,"70,404.496",6,2,37128,1114430.953
272.610893,"74,218.489",8,4,46771,1783534.839
233.0268739,"63,441.715",6,3,48062,1302933.248
211.1801294,"57,493.925",7,4,47039,1241483.612
299.5173069,"81,543.777",6,2,9816,954114.544
288.8293481,"78,633.974",5,3,43729,1555320.5
191.7455712,"52,202.854",5,2,42166,404976.3659
249.6978143,"67,980.389",6,2,25909,1073183.76
288.5886707,"78,568.449",5,2,41017,1422195.879
203.7558318,"55,472.655",5,3,15354,340605.2113
248.2243412,"67,579.235",6,6,21763,1170959.526
225.7337268,"61,456.151",7,4,30821,942838.1647
223.380159,"60,815.390",7,4,31234,1401613.92
188.1251111,"51,217.181",5,3,47089,1175504.486
231.5060696,"63,027.675",5,2,35992,608794.2467
229.5122472,"62,484.855",6,5,26883,946943.0362
271.527249,"73,923.466",7,6,58745,1819900.637
292.8830981,"79,737.610",7,2,28307,1463130.273
234.6751967,"63,890.472",5,5,43416,1252391.18
247.2355544,"67,310.037",7,5,43311,1714445.175
268.6705576,"73,145.730",4,3,49463,1291759.393
319.2806453,"86,924.359",7,6,28719,1809154.289
273.219217,"74,384.106",7,2,17117,1200539.361
